Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Royal Jalapeno Lime Paneer Paratha Frozen 750ml,Mother Dairy Harvest,FROZ-000020,890100639018,Frozen Foods,249,tub,392.08,604.05,2027-02-03,Aisle 08,frozen
Aged Caramelized Onion Cheese Croissant 5L,Amul Agro,BAKE-000021,890100639019,Bakery & Deli,177,box,41.98,76.06,2026-09-03,Aisle 03,ambient
Premium Soan Papdi Box 2kg,Dabur Mills,SNAC-000022,890100639020,Snacks & Confectionery,56,box,106.14,136.54,2026-10-15,Aisle 09,ambient
Select Salted Butter 500ml,Mother Dairy Co.,DAIR-000023,890100639021,Dairy & Eggs,86,carton,218.33,338.56,2026-09-11,Aisle 02,chilled
Crisp Caramelized Onion Pineapples 250ml,Kaveri Milling,FRES-000024,890100639022,Fresh Produce,36,pack,38.09,60.43,2026-08-29,Aisle 01,ambient
Royal Sea Salt Mustard Oil Kachi Ghani 400g,Saffola Agro,PANT-000025,890100639023,Pantry & Dry Goods,204,bottle,382.11,570.99,2027-08-17,Aisle 08,ambient
Handcrafted Pista Almond Gouda Block 250ml,Satvik Foods,DAIR-000026,890100639024,Dairy & Eggs,208,bottle,307.63,530.17,2026-09-02,Aisle 03,chilled
Extra-Virgin Wood-Fired Veggie Pizza 250g,Desi Organics Farms,FROZ-000027,890100639025,Frozen Foods,40,tub,177.10,319.33,2027-04-27,Aisle 09,frozen
Zero-Sugar Mozzarella Shredded 10kg,FarmGold Co.,DAIR-000028,890100639026,Dairy & Eggs,102,bottle,512.42,681.58,2026-09-26,Aisle 03,chilled
Roasted Malai Kulfi Bar 1L,Royal Indian Dairy,FROZ-000029,890100639027,Frozen Foods,138,tub,260.14,377.07,2027-06-25,Aisle 09,frozen
Desi Golden Ginger Chicken Sausages 250g,Fortune Organics,MEAT-000030,890100639028,Meat & Seafood,247,kg,638.97,1069.84,2026-08-30,Aisle 05,chilled
Authentic Ajwain & Jeera Guava Chilli Juice Snack Pack,Patanjali Provisions,BEVE-000031,890100639029,Beverages,184,box,302.55,481.97,2027-08-05,Aisle 06,chilled
Zero-Sugar Truffle Infused Lassi Mango Infused 250g,Fortune Springs,DAIR-000032,890100639030,Dairy & Eggs,65,packet,179.44,260.03,2026-09-01,Aisle 02,chilled
Royal Chatpata Masala Sona Masoori Rice 200ml,Saffola Milling,PANT-000033,890100639031,Pantry & Dry Goods,147,packet,555.00,828.66,2028-01-12,Aisle 08,ambient
Authentic Caramelized Onion Raw Wildflower Honey 330ml,Himalayan Milling,PANT-000034,890100639032,Pantry & Dry Goods,141,jar,352.84,587.82,2026-08-19,Aisle 08,ambient
Artisan Masala Chai Chicken Sausages 250g,Ganga Farms,MEAT-000035,890100639033,Meat & Seafood,60,kg,502.32,837.47,2026-09-01,Aisle 05,chilled
Extra-Virgin Royal Basmati Rice 100g,Amul Farms,PANT-000036,890100639034,Pantry & Dry Goods,186,can,234.74,322.63,2027-04-29,Aisle 07,ambient
Sweet Kashmiri Saffron Granola Health Bars 330ml,Satvik Springs,SNAC-000037,890100639035,Snacks & Confectionery,78,bar,539.89,888.26,2027-06-22,Aisle 09,ambient
Unpolished Electrolyte Energy Drink 24-Pack,Heritage Kitchens,BEVE-000038,890100639036,Beverages,210,bottle,178.52,296.14,2027-04-06,Aisle 05,chilled
Premium Ladyfinger (Bhindi) 350g,Satvik Farms,FRES-000039,890100639037,Fresh Produce,137,bag,62.31,91.13,2026-08-16,Aisle 01,chilled
Artisan Pears Snack Pack,Mother Dairy Foods,FRES-000040,890100639038,Fresh Produce,67,kg,61.20,85.98,2026-08-25,Aisle 02,chilled
Cured Double Toned Milk 150g,Nature Harvest Farms,DAIR-000041,890100639039,Dairy & Eggs,55,packet,113.00,174.81,2026-09-04,Aisle 03,chilled
Natural Makhana Crunch Raw Wildflower Honey 500ml,Satvik Mills,PANT-000042,890100639040,Pantry & Dry Goods,247,bag,375.49,611.44,2028-06-02,Aisle 06,ambient
Whole-Grain Kashmiri Saffron Pure Jaggery Powder (Gud) 10-Pack,Patanjali Kitchens,PANT-000043,890100639041,Pantry & Dry Goods,181,bag,604.73,802.63,2027-03-31,Aisle 06,ambient
Sweet Sea Salt Buffalo Milk 10-Pack,Kaveri Organics,DAIR-000044,890100639042,Dairy & Eggs,185,pack,143.77,192.40,2026-08-27,Aisle 02,chilled
Valley Fresh Cardamom Spiced Cold Pressed Orange Juice Value Pack,Tata Organics,BEVE-000045,890100639043,Beverages,36,can,440.22,644.17,2027-06-10,Aisle 05,ambient
Desi Red Chilli & Garlic Bhujia Sev Snack Pack,Satvik Foods,SNAC-000046,890100639044,Snacks & Confectionery,98,pack,112.01,166.17,2026-12-28,Aisle 09,ambient
Desi Tender Coconut Water Value Pack,Saffola Co.,BEVE-000047,890100639045,Beverages,110,box,234.13,316.58,2027-08-09,Aisle 05,chilled
Sweet Espresso Roast Ground Coffee 8-Pack,Dabur Naturals,BEVE-000048,890100639046,Beverages,146,can,255.05,441.80,2027-07-20,Aisle 05,chilled
Low-Sodium Chicken Salami 750ml,Deccan Plantations,BAKE-000049,890100639047,Bakery & Deli,145,box,205.25,321.46,2026-08-30,Aisle 04,chilled
Authentic Gulab Jamun Tin 6-Pack,Mother Dairy Agro,SNAC-000050,890100639048,Snacks & Confectionery,187,packet,376.01,578.12,2027-06-22,Aisle 10,ambient
Signature Roma Tomatoes 6-Pack,Deccan Naturals,FRES-000051,890100639049,Fresh Produce,136,pcs,30.99,45.22,2026-09-03,Aisle 01,ambient
Desi Himalayan Spring Water 400g,Pure Vedic Springs,BEVE-000052,890100639050,Beverages,100,carton,36.16,46.32,2027-02-22,Aisle 06,chilled
Stone-Ground Ayurvedic Bath Soap 50g,Dabur Foods,HOUS-000053,890100639051,Household & Personal Care,144,packet,117.93,166.34,2028-10-30,Aisle 11,ambient
Roasted Bath Tissue 6-Pack 24-Pack,SunBrite Dairy,HOUS-000054,890100639052,Household & Personal Care,43,packet,394.45,722.79,2028-11-26,Aisle 12,ambient
Cured Bamboo Toothbrush 2pk 5kg,Green Earth Foods,HOUS-000055,890100639053,Household & Personal Care,134,packet,268.17,400.58,2027-04-18,Aisle 12,ambient
Low-Sodium Nagpur Orange Chicken Drumsticks 100g,Deccan Botanicals,MEAT-000056,890100639054,Meat & Seafood,243,kg,657.67,916.60,2026-09-02,Aisle 04,chilled
Zero-Sugar Shampoo Anti-Dandruff 4-Pack,Dabur Goods,HOUS-000057,890100639055,Household & Personal Care,29,box,407.64,697.20,2028-01-18,Aisle 11,ambient
Heritage Paneer Paratha Frozen Snack Pack,Dabur Mills,FROZ-000058,890100639056,Frozen Foods,212,packet,309.75,393.68,2026-11-03,Aisle 09,frozen
Artisan Alphonso Mango Lassi Mango Infused Family Pack,Mother Dairy Farms,DAIR-000059,890100639057,Dairy & Eggs,67,pack,165.62,250.92,2026-08-27,Aisle 03,chilled
Signature Dark Chocolate Soy Milk Protein 400g,Kaveri Milling,DAIR-000060,890100639058,Dairy & Eggs,130,bottle,458.16,598.33,2026-08-29,Aisle 02,chilled
Traditional Sea Salt Moong Dal Washed 5kg,Pure Vedic Dairy,PANT-000061,890100639059,Pantry & Dry Goods,7,bag,361.22,653.53,2027-12-06,Aisle 06,ambient
Signature Lemon Pepper Raw Wildflower Honey 750ml,Tata Milling,PANT-000062,890100639060,Pantry & Dry Goods,8,bag,350.74,557.18,2028-06-18,Aisle 06,ambient
Organic Liquid Laundry Detergent 1L,Organic Tattva Co.,HOUS-000063,890100639061,Household & Personal Care,227,pack,95.84,151.42,2027-09-21,Aisle 12,ambient
Free-Range Ginger Kombucha 5L,Saffola Foods,BEVE-000064,890100639062,Beverages,178,carton,86.69,109.26,2027-07-05,Aisle 05,chilled
Premium Himalayan Spring Water 250ml,Himalayan Milling,BEVE-000065,890100639063,Beverages,105,pack,243.65,424.57,2027-05-16,Aisle 05,ambient
Smoked Himalayan Spring Water 150g,Fortune Organics,BEVE-000066,890100639064,Beverages,86,pack,284.33,385.35,2027-06-30,Aisle 05,chilled
Traditional Chatpata Masala Coconut Milk Canned 1kg,Organic Tattva Harvest,PANT-000067,890100639065,Pantry & Dry Goods,213,bottle,376.55,549.33,2028-04-09,Aisle 06,ambient
Stone-Ground Tulsi Honey Fresh Chicken Curry Cut 350g,Dabur Harvest,MEAT-000068,890100639066,Meat & Seafood,53,kg,466.87,687.50,2026-08-30,Aisle 05,chilled
Zero-Sugar Makhana Crunch Banana Chips Kerala Style 1kg,Pashmina Kitchens,SNAC-000069,890100639067,Snacks & Confectionery,229,pack,345.48,606.00,2027-03-26,Aisle 10,ambient
Unpolished Smoked Chicken Slices 24-Pack,Ganga Plantations,BAKE-000070,890100639068,Bakery & Deli,187,pcs,86.63,110.29,2026-09-01,Aisle 03,chilled
Traditional Nimbu Paani Soda 200ml,Desi Organics Farms,BEVE-000071,890100639069,Beverages,58,pack,251.04,409.72,2026-09-27,Aisle 06,ambient
Gluten-Free Veg Spring Rolls 330ml,Satvik Botanicals,FROZ-000072,890100639070,Frozen Foods,169,packet,60.28,96.64,2027-06-11,Aisle 09,frozen
Extra-Virgin California Almonds 10kg,Vedic Fresh Co.,SNAC-000073,890100639071,Snacks & Confectionery,162,tub,300.29,548.64,2027-06-17,Aisle 10,ambient
Homestyle Nagpur Orange Mosquito Vaporizer Refill 4-Pack,Mother Dairy Foods,HOUS-000074,890100639072,Household & Personal Care,180,box,347.11,617.55,2028-08-16,Aisle 12,ambient
Royal Vanilla Bean Chaash / Buttermilk 4-Pack,Pashmina Botanicals,DAIR-000075,890100639073,Dairy & Eggs,244,tub,376.85,522.24,2026-09-12,Aisle 02,chilled
Smoked Ciabatta Roll 100g,Himalayan Foods,BAKE-000076,890100639074,Bakery & Deli,176,pcs,279.62,390.24,2026-09-08,Aisle 03,ambient
Low-Sodium Tulsi Honey Biodegradable Garbage Bags Snack Pack,Mother Dairy Plantations,HOUS-000077,890100639075,Household & Personal Care,211,box,580.55,903.08,2028-07-11,Aisle 12,ambient
Natural Kesar Pista Catla Fish Steaks 200ml,Nature Harvest Plantations,MEAT-000078,890100639076,Meat & Seafood,199,pcs,893.50,1261.87,2026-09-03,Aisle 05,chilled
Smoked Sea Salt Clove & Mint Toothpaste 150g,Amul Plantations,HOUS-000079,890100639077,Household & Personal Care,230,packet,507.98,815.25,2027-06-23,Aisle 11,ambient
Sweet Chatpata Masala Oat Milk 350g,Green Earth Botanicals,DAIR-000080,890100639078,Dairy & Eggs,20,box,184.89,248.42,2026-09-02,Aisle 02,chilled
Golden Chatpata Masala Veg Spring Rolls 5kg,Kaveri Dairy,FROZ-000081,890100639079,Frozen Foods,28,packet,383.76,595.47,2026-08-17,Aisle 08,frozen
Gluten-Free Caramelized Onion Masala Potato Chips 4-Pack,Green Earth Agro,SNAC-000082,890100639080,Snacks & Confectionery,14,packet,487.15,801.29,2027-05-13,Aisle 10,ambient
Wildcrafted Whole Wheat Atta Bread 12-Pack,Kaveri Springs,BAKE-000083,890100639081,Bakery & Deli,79,box,313.99,507.80,2026-09-02,Aisle 04,ambient
Sun-Dried Pita Bread 200g,Nature Harvest Botanicals,BAKE-000084,890100639082,Bakery & Deli,167,box,306.58,494.19,2026-09-07,Aisle 03,chilled
Valley Fresh Frozen Samosas 1.5L,Mother Dairy Provisions,FROZ-000085,890100639083,Frozen Foods,197,bag,171.92,287.27,2027-03-08,Aisle 08,frozen
Golden Roasted Salted Cashews 400g,Patanjali Kitchens,SNAC-000086,890100639084,Snacks & Confectionery,178,tub,156.59,256.69,2027-06-10,Aisle 09,ambient
Gluten-Free Organic Brown Sugar 330ml,Tata Farms,PANT-000087,890100639085,Pantry & Dry Goods,202,can,63.46,91.24,2026-08-28,Aisle 06,ambient
Grass-Fed Golden Ginger Jeera Masala Soda 12-Pack,Organic Tattva Naturals,BEVE-000088,890100639086,Beverages,83,carton,89.16,118.28,2027-06-30,Aisle 06,ambient
Gluten-Free Pista Almond Garlic Naan Frozen 4pk 330ml,Royal Indian Kitchens,FROZ-000089,890100639087,Frozen Foods,238,packet,205.24,364.35,2027-08-19,Aisle 09,frozen
Cured Lemon Pepper Chicken Drumsticks 150g,Amul Organics,MEAT-000090,890100639088,Meat & Seafood,203,pcs,478.87,868.69,2026-09-01,Aisle 05,chilled
Stone-Ground Mutton Chops 5L,Saffola Mills,MEAT-000091,890100639089,Meat & Seafood,80,pack,347.97,535.39,2026-09-01,Aisle 05,chilled
Signature Cinnamon Spice Mosquito Vaporizer Refill 350g,Patanjali Milling,HOUS-000092,890100639090,Household & Personal Care,96,pack,149.50,199.35,2028-12-10,Aisle 11,ambient
Country Style Fresh Chicken Curry Cut 2-Pack,Saffola Foods,MEAT-000093,890100639091,Meat & Seafood,135,pcs,649.99,1051.01,2026-09-02,Aisle 04,chilled
Handcrafted Red Chilli & Garlic Jeera Masala Soda 200ml,Everest Farms,BEVE-000094,890100639092,Beverages,47,can,55.20,85.88,2027-05-14,Aisle 06,chilled
Crisp Smoked Paprika Pasture Eggs 1.5L,Pure Vedic Naturals,DAIR-000095,890100639093,Dairy & Eggs,172,packet,455.99,834.67,2026-08-30,Aisle 02,chilled
Farm-Fresh Kokum Sharbat 6-Pack,Nature Harvest Farms,BEVE-000096,890100639094,Beverages,56,bottle,194.14,315.80,2027-07-05,Aisle 05,chilled
Signature Garlic & Herb Biodegradable Garbage Bags 500g,Fortune Co.,HOUS-000097,890100639095,Household & Personal Care,73,pack,202.72,283.32,2028-07-07,Aisle 11,ambient
Handcrafted Masala Chai French Fries Crispy 1.5L,Dabur Milling,FROZ-000098,890100639096,Frozen Foods,133,packet,192.55,343.39,2027-05-02,Aisle 08,frozen
Spiced Tandoori Smoked Jeera Masala Soda 200ml,Green Earth Botanicals,BEVE-000099,890100639097,Beverages,39,bottle,410.57,584.88,2026-11-18,Aisle 06,ambient
Signature Sea Salt Boneless Chicken Breast 750ml,Nature Harvest Mills,MEAT-000100,890100639098,Meat & Seafood,109,pack,636.22,968.21,2026-09-02,Aisle 04,chilled
Stone-Ground Alphonso Mango Roasted Makhana Foxnuts 2-Pack,Nature Harvest Milling,SNAC-000101,890100639099,Snacks & Confectionery,247,packet,298.36,418.68,2027-03-23,Aisle 10,ambient
Free-Range Double Toned Milk 250g,Vedic Fresh Milling,DAIR-000102,890100639100,Dairy & Eggs,141,carton,286.91,425.37,2026-09-12,Aisle 03,chilled
Raw Watermelon 5L,Green Earth Plantations,FRES-000103,890100639101,Fresh Produce,42,pack,42.08,55.22,2026-08-28,Aisle 01,ambient
Sweet Vanilla Bean Moong Dal Washed 250ml,Himalayan Springs,PANT-000104,890100639102,Pantry & Dry Goods,165,jar,213.06,346.56,2027-01-25,Aisle 08,ambient
Authentic Boneless Chicken Breast 24-Pack,Ganga Provisions,MEAT-000105,890100639103,Meat & Seafood,157,pcs,510.25,815.98,2026-08-30,Aisle 04,chilled
Gourmet Toasted Sesame Pav 6-Pack 8-Pack,Kaveri Provisions,BAKE-000106,890100639104,Bakery & Deli,43,pack,69.45,88.80,2026-09-01,Aisle 03,chilled
Cured Chicken Keema 24-Pack,Pashmina Agro,MEAT-000107,890100639105,Meat & Seafood,154,kg,569.97,911.44,2026-08-29,Aisle 05,chilled
Desi Green Peas Fresh 150ml,Heritage Mills,FRES-000108,890100639106,Fresh Produce,158,bunch,69.75,104.72,2026-09-05,Aisle 01,ambient
Extra-Virgin Lemons 10kg,Pure Vedic Botanicals,FRES-000109,890100639107,Fresh Produce,88,pack,95.69,150.59,2026-09-14,Aisle 02,chilled
Select Caramelized Onion Garlic Naan Frozen 4pk 12-Pack,Heritage Co.,FROZ-000110,890100639108,Frozen Foods,223,box,75.59,118.59,2026-12-15,Aisle 09,frozen
Artisan Chana Dal Polished 2kg,Catch Plantations,PANT-000111,890100639109,Pantry & Dry Goods,19,box,34.12,43.77,2027-03-31,Aisle 06,ambient
Natural Matcha Green Tea Ricotta Fresh 1kg,Royal Indian Naturals,DAIR-000112,890100639110,Dairy & Eggs,44,bottle,153.48,258.05,2026-09-17,Aisle 02,chilled
Wildcrafted Tulsi Honey Organic Green Tea 6-Pack,Saffola Foods,BEVE-000113,890100639111,Beverages,85,carton,386.11,695.70,2026-08-29,Aisle 05,chilled
Zero-Sugar Roasted Makhana Foxnuts 200g,Everest Co.,SNAC-000114,890100639112,Snacks & Confectionery,129,pack,189.94,246.89,2026-08-29,Aisle 09,ambient
Gourmet Smoked Paprika Blueberries 500g,Nature Harvest Foods,FRES-000115,890100639113,Fresh Produce,83,kg,61.28,103.55,2026-09-12,Aisle 02,ambient
Low-Sodium Cardamom Spiced Cashew Paste Curry Base 4-Pack,Mother Dairy Foods,PANT-000116,890100639114,Pantry & Dry Goods,209,box,482.78,753.04,2027-08-28,Aisle 07,ambient
Low-Sodium Kashmiri Saffron Kabuli Chana Large 50g,Saffola Springs,PANT-000117,890100639115,Pantry & Dry Goods,109,can,424.11,666.48,2027-09-04,Aisle 06,ambient
Rustic Red Chilli & Garlic Crab Meat Fresh 200g,Nature Harvest Botanicals,MEAT-000118,890100639116,Meat & Seafood,184,pcs,682.96,1028.94,2026-09-01,Aisle 05,chilled
Signature Sweet Tamarind Chaash / Buttermilk 500g,Catch Farms,DAIR-000119,890100639117,Dairy & Eggs,18,tub,363.75,650.60,2026-08-27,Aisle 02,chilled
Sun-Dried Chicken Keema 24-Pack,Himalayan Plantations,MEAT-000120,890100639118,Meat & Seafood,179,pcs,774.26,1400.37,2026-09-01,Aisle 05,chilled
Unpolished Rose Infused Frozen Green Peas 50g,Tata Goods,FROZ-000121,890100639119,Frozen Foods,172,bag,386.10,665.21,2026-12-06,Aisle 08,frozen
Heritage Cardamom Spiced Surface Floor Cleaner Rose 330ml,Green Earth Kitchens,HOUS-000122,890100639120,Household & Personal Care,145,bottle,182.37,303.40,2027-03-22,Aisle 11,ambient
Premium Chatpata Masala Seedless Grapes 8-Pack,Satvik Harvest,FRES-000123,890100639121,Fresh Produce,169,pack,29.77,41.91,2026-09-05,Aisle 02,ambient
Cold-Pressed Smoked Paprika Pears 150ml,Vedic Fresh Farms,FRES-000124,890100639122,Fresh Produce,66,bag,111.58,175.38,2026-09-04,Aisle 01,ambient
Sun-Dried Smoked Chicken Slices 250ml,Green Earth Agro,BAKE-000125,890100639123,Bakery & Deli,116,box,188.81,312.54,2026-08-28,Aisle 04,ambient
Select Sea Salt Garlic Naan Frozen 4pk 5kg,Patanjali Goods,FROZ-000126,890100639124,Frozen Foods,49,box,52.41,90.40,2027-08-20,Aisle 09,frozen
Gluten-Free Jalapeno Lime Organic Sharbati Atta 300g,Fortune Springs,PANT-000127,890100639125,Pantry & Dry Goods,224,bottle,709.32,1091.60,2027-04-12,Aisle 08,ambient
Gourmet Goat Mince Premium 300g,Royal Indian Harvest,MEAT-000128,890100639126,Meat & Seafood,146,kg,542.93,950.45,2026-08-29,Aisle 04,chilled
Handcrafted Parmigiano-Reggiano 10-Pack,Satvik Dairy,DAIR-000129,890100639127,Dairy & Eggs,9,box,392.71,612.64,2026-09-25,Aisle 03,chilled
Desi Kachi Ghani Mustard Lavash Crackers 200ml,Vedic Fresh Dairy,BAKE-000130,890100639128,Bakery & Deli,114,box,56.30,70.88,2026-08-29,Aisle 04,ambient
Low-Sodium Coriander Leaves 5L,Patanjali Mills,FRES-000131,890100639129,Fresh Produce,92,pack,52.09,90.37,2026-08-30,Aisle 02,ambient
Premium Makhana Crunch Goat Mince Premium 2kg,Patanjali Goods,MEAT-000132,890100639130,Meat & Seafood,177,kg,190.99,304.38,2026-09-02,Aisle 04,chilled
Cured Royal Basmati Rice 5kg,Satvik Springs,PANT-000133,890100639131,Pantry & Dry Goods,148,packet,598.44,1040.80,2028-01-21,Aisle 07,ambient
Valley Fresh Mint Lime Fresh Methi 2-Pack,Dabur Foods,FRES-000134,890100639132,Fresh Produce,210,kg,37.76,56.51,2026-08-27,Aisle 02,ambient
Select Kesar Pista Jeera Masala Soda 750g,Kaveri Dairy,BEVE-000135,890100639133,Beverages,71,carton,387.45,535.01,2027-02-04,Aisle 06,ambient
Zero-Sugar Boneless Chicken Breast 5L,Urban Roots Organics,MEAT-000136,890100639134,Meat & Seafood,248,kg,749.42,1057.18,2026-08-31,Aisle 04,chilled
Spiced Desi Cow Ghee 2-Pack,Fortune Dairy,DAIR-000137,890100639135,Dairy & Eggs,235,carton,463.77,659.38,2026-08-28,Aisle 03,chilled
Natural Amla Juice Pure 150g,Heritage Harvest,BEVE-000138,890100639136,Beverages,191,can,168.55,262.32,2026-11-21,Aisle 05,ambient
Select Oranges Nagpur 1.5L,Dabur Organics,FRES-000139,890100639137,Fresh Produce,121,pcs,115.01,144.04,2026-09-05,Aisle 02,chilled
Roasted Jalapeno Lime Frozen Green Peas 5L,Organic Tattva Springs,FROZ-000140,890100639138,Frozen Foods,185,packet,196.61,265.45,2027-07-01,Aisle 08,frozen
Spiced Cinnamon Spice Masala Potato Chips 5L,Amul Agro,SNAC-000141,890100639139,Snacks & Confectionery,213,bar,57.65,78.68,2026-08-22,Aisle 09,ambient
Wildcrafted Frozen Paneer Cubes 2-Pack,Urban Roots Botanicals,FROZ-000142,890100639140,Frozen Foods,218,bag,61.66,107.78,2027-03-06,Aisle 09,frozen
Sweet Rose Infused Pink Himalayan Salt 50g,Organic Tattva Farms,PANT-000143,890100639141,Pantry & Dry Goods,221,can,82.47,108.15,2027-04-02,Aisle 07,ambient
Cold-Pressed Wood-Fired Veggie Pizza 100g,Dabur Naturals,FROZ-000144,890100639142,Frozen Foods,4,box,350.14,614.85,2027-07-05,Aisle 09,frozen
Raw Pista Almond Mutton Chops 150ml,Dabur Harvest,MEAT-000145,890100639143,Meat & Seafood,93,pack,864.12,1264.78,2026-08-30,Aisle 05,chilled
Pure Roasted Makhana Foxnuts 330ml,Nature Harvest Plantations,SNAC-000146,890100639144,Snacks & Confectionery,161,bar,430.38,748.36,2027-06-15,Aisle 09,ambient
Royal Kesar Pista Garlic Focaccia 6-Pack,Deccan Dairy,BAKE-000147,890100639145,Bakery & Deli,169,pack,46.68,60.90,2026-09-09,Aisle 03,ambient
Smoked Matcha Green Tea Gourmet Cookies Choco-Chip 50g,Fortune Harvest,SNAC-000148,890100639146,Snacks & Confectionery,247,bar,81.71,102.36,2026-08-28,Aisle 10,ambient
Stone-Ground French Fries Crispy 24-Pack,Satvik Agro,FROZ-000149,890100639147,Frozen Foods,112,bag,412.57,700.90,2027-08-18,Aisle 08,frozen
Sweet Smoked Paprika Amla Juice Pure 250g,Pure Vedic Plantations,BEVE-000150,890100639148,Beverages,72,bag,105.85,182.16,2026-12-26,Aisle 05,ambient
Aged Cold Brew Coffee 10kg,Fortune Kitchens,BEVE-000151,890100639149,Beverages,158,pack,257.72,459.59,2027-07-21,Aisle 05,chilled
Gourmet Matcha Green Tea Granola Health Bars 200g,Urban Roots Organics,SNAC-000152,890100639150,Snacks & Confectionery,100,bar,163.14,211.87,2027-04-30,Aisle 09,ambient
Homestyle California Almonds Value Pack,Pure Vedic Naturals,SNAC-000153,890100639151,Snacks & Confectionery,54,tub,273.30,415.37,2027-02-11,Aisle 09,ambient
Golden Makhana Crunch Goat Mince Premium 250g,Bhoomi Plantations,MEAT-000154,890100639152,Meat & Seafood,151,kg,374.29,619.02,2026-08-29,Aisle 04,chilled
Gluten-Free Sea Salt California Almonds 200ml,Catch Foods,SNAC-000155,890100639153,Snacks & Confectionery,128,pack,42.16,70.28,2026-11-14,Aisle 10,ambient
Stone-Ground Banana Chips Kerala Style 750ml,Saffola Provisions,SNAC-000156,890100639154,Snacks & Confectionery,96,box,39.04,64.67,2027-06-02,Aisle 10,ambient
Grass-Fed Dark Chocolate Herbal Hand Wash Neem 2L,Himalayan Goods,HOUS-000157,890100639155,Household & Personal Care,140,pack,120.25,155.94,2028-09-02,Aisle 12,ambient
Spiced Fabric Softener Floral 400g,Fortune Organics,HOUS-000158,890100639156,Household & Personal Care,181,bottle,68.11,89.14,2028-08-29,Aisle 12,ambient
Signature Frozen Samosas 250g,Urban Roots Organics,FROZ-000159,890100639157,Frozen Foods,84,tub,65.10,87.11,2027-05-22,Aisle 08,frozen
Traditional Chatpata Masala Cucumbers 6-Pack,Bhoomi Agro,FRES-000160,890100639158,Fresh Produce,232,pack,48.25,72.42,2026-08-29,Aisle 02,chilled
