Name,Brand,SKU,Barcode,Category,CurrentStock,Unit,CostPrice,SellingPrice,ExpiryDate,Aisle,TempZone
Heritage Fruit Cake Slice 12-Pack,Saffola Goods,BAKE-000020,890100786072,Bakery & Deli,213,box,118.65,157.45,2026-08-29,Aisle 04,chilled
Stone-Ground Nimbu Paani Soda 8-Pack,Bhoomi Goods,BEVE-000021,890100786073,Beverages,5,pack,289.64,423.44,2026-08-30,Aisle 06,chilled
Select Bitter Gourd (Karela) 300g,Saffola Mills,FRES-000022,890100786074,Fresh Produce,100,pcs,118.96,202.38,2026-08-29,Aisle 01,chilled
Free-Range Hash Browns 6pk 5kg,Green Earth Mills,FROZ-000023,890100786075,Frozen Foods,7,packet,111.89,183.33,2027-02-07,Aisle 09,frozen
Cold-Pressed Guavas 150ml,Patanjali Naturals,FRES-000024,890100786076,Fresh Produce,133,bag,134.86,175.14,2026-09-10,Aisle 02,chilled
Traditional Gulab Jamun Tin Value Pack,Pashmina Co.,SNAC-000025,890100786077,Snacks & Confectionery,159,bag,177.27,251.71,2026-12-27,Aisle 10,ambient
Authentic Makhana Crunch Kitchen Paper Towels 4-Roll 2L,Deccan Milling,HOUS-000026,890100786078,Household & Personal Care,144,pack,277.88,437.93,2028-03-16,Aisle 11,ambient
Spiced Pink Himalayan Salt 12-Pack,SunBrite Provisions,PANT-000027,890100786079,Pantry & Dry Goods,85,bag,394.53,502.69,2027-02-28,Aisle 07,ambient
Artisan Rose Infused Cashew Paste Curry Base 2-Pack,Fortune Organics,PANT-000028,890100786080,Pantry & Dry Goods,73,can,116.47,148.11,2028-04-20,Aisle 08,ambient
Natural Jalapeno Lime Cinnamon Swirl Buns 750ml,Nilgiri Goods,BAKE-000029,890100786081,Bakery & Deli,68,box,118.66,191.62,2026-09-06,Aisle 04,ambient
Farm-Fresh Salted Butter 5L,Vedic Fresh Botanicals,DAIR-000030,890100786082,Dairy & Eggs,102,packet,464.89,819.99,2026-09-12,Aisle 02,chilled
Natural Caramelized Onion Unsalted White Butter 330ml,Desi Organics Organics,DAIR-000031,890100786083,Dairy & Eggs,24,carton,328.86,505.14,2026-09-07,Aisle 03,chilled
Traditional Cardamom Spiced Cheese Croissant 1L,Green Earth Co.,BAKE-000032,890100786084,Bakery & Deli,137,box,169.81,219.26,2026-08-28,Aisle 03,chilled
Authentic Vanilla Bean Poha Thick Flakes 12-Pack,Nature Harvest Dairy,PANT-000033,890100786085,Pantry & Dry Goods,220,jar,745.82,998.19,2027-11-09,Aisle 06,ambient
Whole-Grain Smoked Paprika Apples 1L,Saffola Agro,FRES-000034,890100786086,Fresh Produce,64,bag,44.21,67.29,2026-09-12,Aisle 02,chilled
Wildcrafted Rose Infused Frozen Samosas 4-Pack,Deccan Co.,FROZ-000035,890100786087,Frozen Foods,92,packet,196.12,252.04,2027-05-30,Aisle 09,frozen
Signature Dark Chocolate Alphonso Kulfi Tub 2L,Himalayan Farms,FROZ-000036,890100786088,Frozen Foods,141,box,366.81,579.27,2027-04-25,Aisle 08,frozen
Grass-Fed Kesar Pista Chaash / Buttermilk 500g,FarmGold Plantations,DAIR-000037,890100786089,Dairy & Eggs,25,box,274.38,437.06,2026-09-08,Aisle 02,chilled
Free-Range Vanilla Bean Heavy Cream 350g,Himalayan Provisions,DAIR-000038,890100786090,Dairy & Eggs,170,tub,441.43,769.95,2026-09-02,Aisle 03,chilled
Extra-Virgin Smoked Paprika Granola Health Bars 4-Pack,Catch Springs,SNAC-000039,890100786091,Snacks & Confectionery,248,pack,332.74,496.49,2026-08-28,Aisle 09,ambient
Pure Garlic Bulbs 1kg,Dabur Harvest,FRES-000040,890100786092,Fresh Produce,157,pcs,42.03,70.42,2026-09-01,Aisle 02,chilled
Artisan Rose Infused Frozen Veg Momos 2L,Bhoomi Plantations,FROZ-000041,890100786093,Frozen Foods,237,bag,67.66,115.69,2027-05-09,Aisle 08,frozen
Natural Tiger Prawns Jumbo 1L,Urban Roots Provisions,MEAT-000042,890100786094,Meat & Seafood,72,pcs,532.12,678.52,2026-08-31,Aisle 05,chilled
Unpolished Mint Lime Lemons 5kg,Everest Co.,FRES-000043,890100786095,Fresh Produce,159,bag,159.29,241.77,2026-09-07,Aisle 01,chilled
Zero-Sugar Malai Kulfi Bar 200ml,Ganga Organics,FROZ-000044,890100786096,Frozen Foods,145,pack,258.96,324.22,2027-01-30,Aisle 09,frozen
Pure Green Peas Fresh 350g,Green Earth Kitchens,FRES-000045,890100786097,Fresh Produce,182,bag,31.93,40.02,2026-09-08,Aisle 02,ambient
Extra-Virgin Almond Milk 1L,Pure Vedic Co.,DAIR-000046,890100786098,Dairy & Eggs,15,pack,229.07,287.25,2026-09-11,Aisle 02,chilled
Raw Roasted Salted Cashews 50g,FarmGold Goods,SNAC-000047,890100786099,Snacks & Confectionery,51,bar,143.78,184.72,2027-03-17,Aisle 09,ambient
Cured Smoked Paprika Granola Health Bars 1kg,Fortune Springs,SNAC-000048,890100786100,Snacks & Confectionery,193,bag,356.97,479.46,2026-08-27,Aisle 10,ambient
Cured Toasted Sesame Amla Juice Pure 100g,Everest Organics,BEVE-000049,890100786101,Beverages,171,can,244.69,325.87,2026-09-23,Aisle 05,chilled
Low-Sodium Frozen Paneer Cubes 250g,Catch Mills,FROZ-000050,890100786102,Frozen Foods,178,packet,108.34,171.36,2027-06-28,Aisle 09,frozen
Desi Rose Infused Banana Chips Kerala Style 1L,Heritage Milling,SNAC-000051,890100786103,Snacks & Confectionery,126,bag,147.28,260.09,2027-05-08,Aisle 10,ambient
Sweet Smoked Chicken Slices 1kg,Ganga Co.,BAKE-000052,890100786104,Bakery & Deli,104,box,294.85,441.42,2026-09-05,Aisle 03,ambient
Cold-Pressed Tender Coconut Water 750g,Everest Co.,BEVE-000053,890100786105,Beverages,195,can,160.43,271.07,2026-12-11,Aisle 06,ambient
Golden Cold-Pressed Groundnut Oil 750ml,Catch Organics,PANT-000054,890100786106,Pantry & Dry Goods,239,packet,667.53,1177.51,2028-04-21,Aisle 06,ambient
Stone-Ground Dishwash Gel Lemon 24-Pack,Urban Roots Foods,HOUS-000055,890100786107,Household & Personal Care,191,box,489.62,765.02,2026-08-28,Aisle 11,ambient
Sweet Tonic Water Premium 150ml,Ganga Goods,BEVE-000056,890100786108,Beverages,53,bottle,280.62,515.08,2026-09-24,Aisle 06,chilled
Zero-Sugar Coconut Cream Green Peas Fresh 200ml,Amul Co.,FRES-000057,890100786109,Fresh Produce,56,bag,119.68,189.10,2026-09-02,Aisle 01,ambient
Rustic Pita Bread 12-Pack,Kaveri Goods,BAKE-000058,890100786110,Bakery & Deli,115,box,152.42,258.54,2026-08-30,Aisle 03,chilled
Authentic Sweet Tamarind Edamame Pods 100g,FarmGold Co.,FROZ-000059,890100786111,Frozen Foods,192,pack,81.13,141.45,2027-05-20,Aisle 08,frozen
Homestyle Kachi Ghani Mustard Cold Pressed Orange Juice 500ml,Dabur Farms,BEVE-000060,890100786112,Beverages,189,can,144.61,251.16,2027-01-24,Aisle 05,chilled
Plant-Based Smoked Paprika Aloo Tikki 8-Pack 2-Pack,Tata Milling,FROZ-000061,890100786113,Frozen Foods,110,pack,53.98,92.68,2026-08-27,Aisle 08,frozen
Valley Fresh Ajwain & Jeera Royal Basmati Rice 150g,Everest Agro,PANT-000062,890100786114,Pantry & Dry Goods,15,box,681.33,1017.73,2027-11-25,Aisle 06,ambient
Premium Caramelized Onion Frozen Samosas 750ml,FarmGold Foods,FROZ-000063,890100786115,Frozen Foods,236,box,234.44,338.08,2026-08-27,Aisle 08,frozen
Desi Catla Fish Steaks 2-Pack,Green Earth Dairy,MEAT-000064,890100786116,Meat & Seafood,28,pack,924.62,1433.48,2026-09-01,Aisle 05,chilled
Heritage Coconut Milk Canned 2kg,Royal Indian Harvest,PANT-000065,890100786117,Pantry & Dry Goods,242,jar,598.53,1072.02,2027-03-10,Aisle 06,ambient
Select Floor Disinfectant Pine 12-Pack,Green Earth Dairy,HOUS-000066,890100786118,Household & Personal Care,221,box,151.90,220.17,2029-01-01,Aisle 11,ambient
Handcrafted Cold Pressed Orange Juice Snack Pack,Dabur Farms,BEVE-000067,890100786119,Beverages,84,box,120.84,172.91,2027-08-01,Aisle 06,ambient
Plant-Based Chaash / Buttermilk Family Pack,FarmGold Harvest,DAIR-000068,890100786120,Dairy & Eggs,196,box,369.70,504.09,2026-09-04,Aisle 02,chilled
Aged Sweet Tamarind Multigrain Tortillas 250ml,Vedic Fresh Kitchens,BAKE-000069,890100786121,Bakery & Deli,196,pack,144.53,207.05,2026-08-31,Aisle 04,ambient
Pure Dry Fruits Trail Mix 5kg,FarmGold Plantations,SNAC-000070,890100786122,Snacks & Confectionery,171,box,450.09,705.02,2027-05-04,Aisle 09,ambient
Authentic Mint Lime Tiger Prawns Jumbo 12-Pack,Patanjali Milling,MEAT-000071,890100786123,Meat & Seafood,121,pcs,737.95,980.20,2026-09-03,Aisle 04,chilled
Free-Range Garlic & Herb Stainless Steel Scrubber 3pk 8-Pack,Catch Foods,HOUS-000072,890100786124,Household & Personal Care,213,tube,123.37,159.55,2029-05-17,Aisle 11,ambient
Unpolished Surmai Steaks 200g,Ganga Naturals,MEAT-000073,890100786125,Meat & Seafood,62,pack,328.93,461.05,2026-09-01,Aisle 04,chilled
Aged Rose Infused Gulab Jamun Tin 1.5L,Catch Springs,SNAC-000074,890100786126,Snacks & Confectionery,240,tub,452.64,658.56,2027-03-12,Aisle 10,ambient
Valley Fresh Toasted Sesame Organic Brown Sugar 400g,Kaveri Milling,PANT-000075,890100786127,Pantry & Dry Goods,194,bag,162.53,218.27,2027-06-27,Aisle 08,ambient
Royal Salted Butter 2kg,Satvik Botanicals,DAIR-000076,890100786128,Dairy & Eggs,116,packet,265.08,409.07,2026-08-27,Aisle 03,chilled
Free-Range Alphonso Mango Alphonso Kulfi Tub 12-Pack,Patanjali Dairy,FROZ-000077,890100786129,Frozen Foods,87,bag,89.38,147.43,2027-05-20,Aisle 08,frozen
Stone-Ground Tandoori Smoked Liquid Laundry Detergent Value Pack,Vedic Fresh Naturals,HOUS-000078,890100786130,Household & Personal Care,173,bottle,74.71,103.58,2028-06-18,Aisle 11,ambient
Crisp Frozen Samosas Snack Pack,Nilgiri Naturals,FROZ-000079,890100786131,Frozen Foods,182,pack,339.07,574.53,2027-05-01,Aisle 09,frozen
Handcrafted Red Chilli & Garlic Carrots 250g,Dabur Springs,FRES-000080,890100786132,Fresh Produce,106,bag,32.95,46.33,2026-09-03,Aisle 02,chilled
Aged Ciabatta Roll 330ml,Deccan Provisions,BAKE-000081,890100786133,Bakery & Deli,244,box,131.18,199.13,2026-08-30,Aisle 03,ambient
Cold-Pressed Gourmet Cookies Choco-Chip 5kg,Vedic Fresh Mills,SNAC-000082,890100786134,Snacks & Confectionery,166,bar,67.15,112.40,2027-06-22,Aisle 09,ambient
Unpolished Chaash / Buttermilk 6-Pack,Satvik Botanicals,DAIR-000083,890100786135,Dairy & Eggs,14,carton,430.39,604.38,2026-08-23,Aisle 03,chilled
Natural Makhana Crunch Herbal Hand Wash Neem 150ml,Catch Springs,HOUS-000084,890100786136,Household & Personal Care,117,tube,437.42,584.58,2026-08-28,Aisle 11,ambient
Gourmet Chicken Drumsticks 200g,Desi Organics Co.,MEAT-000085,890100786137,Meat & Seafood,83,pack,302.52,486.12,2026-08-29,Aisle 04,chilled
Heritage Lemon Pepper Pita Bread 5L,Himalayan Naturals,BAKE-000086,890100786138,Bakery & Deli,178,pack,176.28,298.33,2026-08-31,Aisle 04,ambient
Farm-Fresh Sona Masoori Rice 6-Pack,Vedic Fresh Co.,PANT-000087,890100786139,Pantry & Dry Goods,191,can,318.07,438.85,2028-06-01,Aisle 06,ambient
Sweet Amla Juice Pure 500g,Royal Indian Kitchens,BEVE-000088,890100786140,Beverages,29,can,268.55,387.90,2026-10-22,Aisle 05,ambient
Free-Range Lemon Pepper Pita Bread 10kg,Dabur Foods,BAKE-000089,890100786141,Bakery & Deli,207,pack,185.51,332.88,2026-09-09,Aisle 04,ambient
Stone-Ground Kachi Ghani Mustard Paneer Tikka Deli 10-Pack,Pashmina Foods,BAKE-000090,890100786142,Bakery & Deli,11,pack,209.39,336.55,2026-09-09,Aisle 03,chilled
Stone-Ground Cardamom Spiced Chana Dal Polished 10kg,Patanjali Organics,PANT-000091,890100786143,Pantry & Dry Goods,169,bottle,199.72,345.77,2027-08-01,Aisle 08,ambient
Valley Fresh Aloo Tikki 8-Pack 10-Pack,Fortune Botanicals,FROZ-000092,890100786144,Frozen Foods,96,box,337.99,624.36,2027-03-08,Aisle 08,frozen
Natural Jalapeno Lime Herbal Hand Wash Neem 10kg,Desi Organics Foods,HOUS-000093,890100786145,Household & Personal Care,237,pack,173.13,304.78,2026-08-27,Aisle 12,ambient
Heritage Smoked Paprika Flavored Yogurt 500g,Organic Tattva Co.,DAIR-000094,890100786146,Dairy & Eggs,243,packet,367.57,634.78,2026-08-28,Aisle 03,chilled
Free-Range Cinnamon Spice Ricotta Fresh 300g,Patanjali Organics,DAIR-000095,890100786147,Dairy & Eggs,194,box,326.06,527.92,2026-09-08,Aisle 03,chilled
Farm-Fresh Cauliflower 200ml,Catch Organics,FRES-000096,890100786148,Fresh Produce,103,bunch,128.81,216.05,2026-08-22,Aisle 01,chilled
Sun-Dried Ajwain & Jeera Liquid Laundry Detergent 10-Pack,Royal Indian Provisions,HOUS-000097,890100786149,Household & Personal Care,221,pack,540.42,922.13,2027-12-19,Aisle 12,ambient
Free-Range Kitchen Paper Towels 4-Roll 100g,Saffola Mills,HOUS-000098,890100786150,Household & Personal Care,203,bottle,328.11,573.40,2028-02-11,Aisle 12,ambient
Extra-Virgin Paneer Block 500g,SunBrite Kitchens,DAIR-000099,890100786151,Dairy & Eggs,30,packet,470.29,590.06,2026-08-19,Aisle 02,chilled
Signature Matcha Green Tea Lavash Crackers 150g,Kaveri Goods,BAKE-000100,890100786152,Bakery & Deli,33,pcs,215.71,276.41,2026-08-30,Aisle 04,chilled
Crisp Truffle Infused Mixed Berries Frozen 750g,FarmGold Goods,FROZ-000101,890100786153,Frozen Foods,225,box,87.69,124.14,2027-05-01,Aisle 09,frozen
Whole-Grain Cinnamon Spice Frozen Green Peas 50g,Desi Organics Dairy,FROZ-000102,890100786154,Frozen Foods,28,tub,138.22,183.21,2027-08-20,Aisle 08,frozen
Valley Fresh Caramelized Onion Basa Fish Fillets 10-Pack,FarmGold Organics,MEAT-000103,890100786155,Meat & Seafood,64,pcs,927.70,1419.13,2026-08-28,Aisle 04,chilled
Spiced Coconut Cream Diet Mixture Namkeen 1L,Nilgiri Organics,SNAC-000104,890100786156,Snacks & Confectionery,196,bag,18.84,24.36,2026-10-28,Aisle 10,ambient
Grass-Fed Brioche Burger Buns 8-Pack,Organic Tattva Provisions,BAKE-000105,890100786157,Bakery & Deli,238,pack,28.24,43.97,2026-09-05,Aisle 03,ambient
Plant-Based Caramelized Onion Poha Thick Flakes 500g,Pashmina Organics,PANT-000106,890100786158,Pantry & Dry Goods,100,packet,361.36,504.89,2028-07-25,Aisle 06,ambient
Sweet Caramelized Onion Floor Disinfectant Pine 1.5L,Dabur Organics,HOUS-000107,890100786159,Household & Personal Care,224,packet,292.77,413.79,2027-05-27,Aisle 12,ambient
Pure Sea Salt Cinnamon Swirl Buns 12-Pack,Bhoomi Mills,BAKE-000108,890100786160,Bakery & Deli,94,pcs,258.03,348.53,2026-08-28,Aisle 03,ambient
Whole-Grain Chatpata Masala Kulcha 4-Pack 150g,Amul Foods,BAKE-000109,890100786161,Bakery & Deli,76,box,312.20,461.36,2026-09-02,Aisle 03,chilled
Sweet Fresh Rohu Fish 750ml,Everest Milling,MEAT-000110,890100786162,Meat & Seafood,140,pcs,639.99,1145.38,2026-09-03,Aisle 05,chilled
Rustic Masala Potato Chips 100g,Patanjali Harvest,SNAC-000111,890100786163,Snacks & Confectionery,239,tub,176.46,279.91,2026-11-30,Aisle 10,ambient
Gluten-Free Chatpata Masala Desi Cow Ghee 10-Pack,Mother Dairy Provisions,DAIR-000112,890100786164,Dairy & Eggs,4,tub,311.91,448.80,2026-09-12,Aisle 02,chilled
Cold-Pressed Heavy Cream 750g,Vedic Fresh Co.,DAIR-000113,890100786165,Dairy & Eggs,207,bottle,245.52,419.89,2026-08-31,Aisle 03,chilled
Cured Chicken Sausages 50g,Ganga Plantations,MEAT-000114,890100786166,Meat & Seafood,81,kg,397.99,640.12,2026-09-01,Aisle 04,chilled
Country Style Tandoori Smoked Bath Tissue 6-Pack 10-Pack,FarmGold Springs,HOUS-000115,890100786167,Household & Personal Care,157,tube,548.17,934.29,2027-07-09,Aisle 11,ambient
Authentic Coconut Cream Sweet Corn Kernels Snack Pack,Dabur Co.,FROZ-000116,890100786168,Frozen Foods,89,pack,294.38,524.21,2027-08-01,Aisle 08,frozen
Signature Masala Chai Kulcha 4-Pack 1.5L,Saffola Mills,BAKE-000117,890100786169,Bakery & Deli,97,pack,156.01,253.74,2026-08-28,Aisle 03,chilled
Royal Mutton Curry Cut 400g,Royal Indian Milling,MEAT-000118,890100786170,Meat & Seafood,200,pack,786.36,1152.21,2026-08-29,Aisle 05,chilled
Desi Cardamom Spiced Liquid Laundry Detergent 150ml,Himalayan Co.,HOUS-000119,890100786171,Household & Personal Care,56,box,237.65,334.34,2027-09-16,Aisle 12,ambient
Roasted Makhana Crunch Malai Kulfi Bar 1kg,Royal Indian Dairy,FROZ-000120,890100786172,Frozen Foods,81,bag,275.85,401.78,2027-04-20,Aisle 08,frozen
Zero-Sugar Chicken Frankfurters 500g,Patanjali Goods,BAKE-000121,890100786173,Bakery & Deli,74,pcs,295.98,407.51,2026-09-09,Aisle 03,chilled
Artisan Cinnamon Swirl Buns 5kg,Deccan Agro,BAKE-000122,890100786174,Bakery & Deli,222,pcs,81.41,133.24,2026-08-27,Aisle 04,chilled
Country Style Organic Sharbati Atta 150g,Bhoomi Springs,PANT-000123,890100786175,Pantry & Dry Goods,181,can,157.53,223.47,2027-03-24,Aisle 06,ambient
Golden Urad Dal Whole 100g,Himalayan Kitchens,PANT-000124,890100786176,Pantry & Dry Goods,206,packet,629.12,955.46,2027-12-24,Aisle 07,ambient
Premium Rose Infused Papayas 100g,Heritage Harvest,FRES-000125,890100786177,Fresh Produce,172,kg,135.28,183.53,2026-08-30,Aisle 02,chilled
Heritage Fresh Chicken Curry Cut 750g,FarmGold Goods,MEAT-000126,890100786178,Meat & Seafood,8,kg,916.72,1462.70,2026-08-27,Aisle 05,chilled
Organic Tandoori Smoked Moong Dal Namkeen Value Pack,Organic Tattva Organics,SNAC-000127,890100786179,Snacks & Confectionery,138,packet,345.20,445.05,2026-10-24,Aisle 09,ambient
Grass-Fed Chatpata Masala Stainless Steel Scrubber 3pk 50g,Catch Kitchens,HOUS-000128,890100786180,Household & Personal Care,116,pack,128.20,213.78,2028-03-29,Aisle 12,ambient
Cold-Pressed Vanilla Bean Garlic Focaccia 2-Pack,Satvik Harvest,BAKE-000129,890100786181,Bakery & Deli,72,box,63.66,88.08,2026-09-04,Aisle 03,ambient
Crisp Rose Infused Tiger Prawns Jumbo 750g,Ganga Naturals,MEAT-000130,890100786182,Meat & Seafood,31,pack,395.72,516.94,2026-08-26,Aisle 05,chilled
Gourmet Yukon Gold Potatoes 400g,Catch Milling,FRES-000131,890100786183,Fresh Produce,130,pack,23.79,36.59,2026-09-01,Aisle 02,chilled
Cold-Pressed Jalapeno Lime Curd Tub (Dahi) 350g,Deccan Farms,DAIR-000132,890100786184,Dairy & Eggs,60,box,464.18,616.86,2026-09-23,Aisle 02,chilled
Premium Veg Burger Patties 150g,Tata Provisions,FROZ-000133,890100786185,Frozen Foods,19,tub,269.45,348.24,2027-07-14,Aisle 09,frozen
Gluten-Free Pink Himalayan Salt 10kg,Himalayan Goods,PANT-000134,890100786186,Pantry & Dry Goods,164,can,226.66,418.51,2027-02-20,Aisle 07,ambient
Roasted Tulsi Honey Jeera Masala Soda 2kg,Amul Naturals,BEVE-000135,890100786187,Beverages,86,bottle,337.50,547.71,2027-07-25,Aisle 06,chilled
Natural Smoked Paprika Pink Himalayan Salt 6-Pack,Nature Harvest Provisions,PANT-000136,890100786188,Pantry & Dry Goods,107,jar,358.07,521.90,2026-08-26,Aisle 07,ambient
Cold-Pressed Raw Wildflower Honey 2kg,Deccan Harvest,PANT-000137,890100786189,Pantry & Dry Goods,203,box,231.76,349.83,2028-06-25,Aisle 08,ambient
Country Style Jalapeno Lime Mutton Chops 750ml,Nature Harvest Milling,MEAT-000138,890100786190,Meat & Seafood,123,kg,886.70,1482.37,2026-09-02,Aisle 04,chilled
Royal Smoked Paprika Kabuli Chana Large 10kg,Pashmina Kitchens,PANT-000139,890100786191,Pantry & Dry Goods,7,box,614.84,1040.83,2027-04-08,Aisle 08,ambient
Golden Kachi Ghani Mustard Paneer Block Snack Pack,Amul Mills,DAIR-000140,890100786192,Dairy & Eggs,86,pack,269.58,365.04,2026-09-04,Aisle 03,chilled
Roasted Golden Ginger Aloo Tikki 8-Pack 100g,Heritage Plantations,FROZ-000141,890100786193,Frozen Foods,46,tub,190.31,249.11,2027-01-09,Aisle 08,frozen
Natural Kesar Pista Garlic Focaccia 500ml,Tata Harvest,BAKE-000142,890100786194,Bakery & Deli,211,pcs,269.63,406.87,2026-09-06,Aisle 04,ambient
Golden Shampoo Anti-Dandruff 2kg,Satvik Springs,HOUS-000143,890100786195,Household & Personal Care,23,packet,350.67,453.34,2028-06-02,Aisle 12,ambient
Traditional Mint Lime Pasture Eggs 200ml,Dabur Provisions,DAIR-000144,890100786196,Dairy & Eggs,155,tub,181.53,238.64,2026-09-26,Aisle 03,chilled
Artisan Herbal Hand Wash Neem 2-Pack,Organic Tattva Dairy,HOUS-000145,890100786197,Household & Personal Care,86,packet,573.46,826.85,2027-03-16,Aisle 12,ambient
Plant-Based Filter Coffee Beans Value Pack,Organic Tattva Plantations,BEVE-000146,890100786198,Beverages,232,can,390.04,574.38,2026-11-06,Aisle 06,ambient
Heritage Clove & Mint Toothpaste 200ml,Tata Organics,HOUS-000147,890100786199,Household & Personal Care,78,pack,208.11,318.54,2027-06-07,Aisle 12,ambient
Unpolished Tulsi Honey Garlic Naan Frozen 4pk Family Pack,Tata Botanicals,FROZ-000148,890100786200,Frozen Foods,190,packet,380.74,489.47,2026-12-26,Aisle 08,frozen
Signature Cream Cheese 250g,Bhoomi Dairy,DAIR-000149,890100786201,Dairy & Eggs,67,packet,95.07,165.73,2026-09-09,Aisle 02,chilled
Authentic Fish Fingers Frozen 10kg,Kaveri Dairy,FROZ-000150,890100786202,Frozen Foods,186,bag,143.56,258.62,2027-06-14,Aisle 09,frozen
Royal Vanilla Bean Carrots 150ml,Nature Harvest Harvest,FRES-000151,890100786203,Fresh Produce,231,pack,90.31,146.90,2026-09-12,Aisle 02,chilled
Zero-Sugar Pista Almond Badam Milk Drink 250g,Mother Dairy Plantations,BEVE-000152,890100786204,Beverages,12,can,245.69,359.79,2027-07-21,Aisle 05,chilled
Cold-Pressed Kulcha 4-Pack 12-Pack,Vedic Fresh Goods,BAKE-000153,890100786205,Bakery & Deli,138,box,277.92,449.01,2026-09-04,Aisle 04,ambient
Select Caramelized Onion Chamomile Herbal Tea 1.5L,Everest Co.,BEVE-000154,890100786206,Beverages,229,bottle,21.27,38.33,2027-06-15,Aisle 05,ambient
Sun-Dried Pista Almond Salted Butter 350g,Desi Organics Milling,DAIR-000155,890100786207,Dairy & Eggs,151,tub,433.93,726.65,2026-08-31,Aisle 02,chilled
Roasted Roasted Makhana Foxnuts 750g,Saffola Farms,SNAC-000156,890100786208,Snacks & Confectionery,113,box,390.24,509.97,2027-02-19,Aisle 10,ambient
Desi Vanilla Bean Frozen Green Peas 4-Pack,Patanjali Provisions,FROZ-000157,890100786209,Frozen Foods,219,pack,244.55,425.79,2027-01-30,Aisle 09,frozen
Valley Fresh Chatpata Masala Ayurvedic Bath Soap 200g,SunBrite Springs,HOUS-000158,890100786210,Household & Personal Care,68,tube,248.32,433.21,2027-11-26,Aisle 12,ambient
Select Pineapples 350g,Urban Roots Kitchens,FRES-000159,890100786211,Fresh Produce,148,bag,139.56,223.58,2026-08-29,Aisle 01,ambient
